,Date,Open,High,Low,Close,Volume,MACD,RSI,ATR,MFI,CPI,USDX,IR,TB,EFFR,RMT,Score
43,9/22/2016,1779.13,1780.56,1766.25,1766.91,916233,-9.179883393,31.99637748,23.48564471,42.47541111,115.5,106.8387,6.7,2.12,3.27,171.8,0.18109
44,9/25/2016,1766.91,1767.82,1725.05,1730.64,1153265,-3.43093769,21.46425158,24.86309866,37.4505204,115.5,106.8387,6.7,2.12,3.27,171.8,0.37645
45,9/26/2016,1730.67,1758.22,1730.67,1757.1,1141761,-0.998448178,38.50366546,25.05716304,36.05200947,115.5,106.8387,6.7,2.12,3.27,171.8,0.47776
46,9/27/2016,1757.1,1767.34,1750.3,1753.72,966228,1.188356406,37.31052016,24.48450854,34.45652184,115.5,106.8387,6.7,2.12,3.27,171.8,0.33009
47,9/28/2016,1753.72,1756.59,1746.69,1749.1,1110345,3.256669325,35.57202673,23.44275793,27.97677372,115.5,106.8387,6.7,2.12,3.27,171.8,0.18543
48,9/29/2016,1749.1,1758.16,1744.1,1753.38,926945,4.498604868,38.62875198,22.77256094,24.55093923,115.5,106.8387,6.7,2.12,3.27,171.8,0.49656
49,10/2/2016,1753.38,1764.49,1753.21,1763.78,1024114,4.590735509,45.83395962,21.95166373,29.7497489,115.7,106.7625,6.7,2.12,3.27,171.8,0.27536
50,10/3/2016,1763.78,1784.05,1763.67,1780.4,896041,3.284789595,55.47330595,21.83940203,36.97073862,115.7,106.7625,6.7,2.12,3.27,171.8,0.3323
51,10/4/2016,1780.41,1800.47,1780.41,1798.5,1027237,0.780304453,63.61076602,21.71301617,43.53359426,115.7,106.7625,6.7,2.12,3.27,171.8,0.21966
52,10/5/2016,1798.5,1806.7,1794.58,1806.6,1018245,-1.83694521,66.74861811,21.02780073,50.54294366,115.7,106.7625,6.7,2.12,3.27,171.8,0.20453
53,10/6/2016,1806.6,1822.41,1806.39,1819.88,1556327,-4.925936312,71.41203055,20.67010068,45.28916236,115.7,106.7625,6.7,2.12,3.27,171.8,0.26679
54,10/16/2016,1819.88,1820.96,1801.56,1803.74,767544,-6.002428641,59.67541366,20.5793792,45.56676636,115.7,106.7625,6.7,2.12,3.27,171.8,0.152233333
55,10/17/2016,1803.74,1805.42,1784.19,1793.36,783998,-5.949396379,53.1885945,20.62585212,50.46030308,115.7,106.7625,6.7,2.12,3.27,171.8,0.2788
56,10/18/2016,1793.36,1794.67,1782.57,1792.73,700405,-5.789791087,52.78675519,20.01686268,53.19075233,115.7,106.7625,4.8,3,3.59,232.14,0.176925
57,10/19/2016,1792.73,1794.14,1784.79,1787.89,850234,-5.212666814,49.47346871,19.25494392,58.95367382,115.7,106.7625,4.8,3,3.59,232.14,0.17598
58,10/20/2016,1788.86,1795.24,1788.86,1794.47,787853,-5.226000597,54.00241804,18.40459078,65.34477474,115.7,106.7625,4.8,3,3.59,232.14,0.180775
59,10/23/2016,1794.47,1798.33,1781.07,1782.39,1081007,-4.213245007,45.38496493,18.3228343,58.63935753,115.7,106.7625,4.8,3,3.59,232.14,0.28921
60,10/24/2016,1782.39,1783.83,1763.77,1768.89,1028707,-2.294838262,37.63984289,18.44691756,50.50459275,115.7,106.7625,4.8,3,3.59,232.14,0.18059
61,10/25/2016,1768.89,1769.17,1749.16,1751,764924,0.661461475,29.85062051,18.55856631,50.2432231,115.7,106.7625,4.8,3,3.59,232.14,0.33105
62,10/26/2016,1751,1755.74,1736.71,1753.46,1054163,2.773873389,32.08065939,18.59224014,43.28527312,115.7,106.7625,4.8,3,3.59,232.14,0.28182
63,10/27/2016,1753.46,1763.25,1752.62,1759.71,1010723,3.898710377,37.8706545,18.0235087,43.80772114,115.7,106.7625,4.8,3,3.59,232.14,0.227255556
64,11/3/2016,1759.71,1762.92,1753.22,1762.21,872421,4.53613297,40.22261252,17.42897237,43.74736034,116.1,108.1606,4.8,3,3.59,232.14,0.21331
65,11/7/2016,1762.21,1764.26,1748.93,1749.12,881533,6.028060837,32.73571116,17.27904577,37.14807077,116.1,108.1606,4.8,3,3.59,232.14,0.12414
66,11/8/2016,1749.12,1749.51,1722.56,1724.49,1038547,9.093040666,23.31413111,17.96982821,29.76003239,116.1,108.1606,4.8,3,3.59,232.14,0.24566
